[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-9.9995594024658	-0.12515413761139
-9.7951793670654	-0.11985969543457
-9.5934581756592	-0.11544919013977
-9.3929576873779	-0.1117696762085
-9.1892957687378	-0.10825276374817
-8.9880771636963	-0.10514199733734
-8.7864990234375	-0.10145306587219
-8.5852794647217	-0.098117969930172
-8.3819770812988	-0.095488093793392
-8.1796817779541	-0.092982389032841
-7.9785346984863	-0.090559355914593
-7.7761650085449	-0.088201098144054
-7.5743007659912	-0.085889711976051
-7.372362613678	-0.083628058433533
-7.1685576438904	-0.081399701535702
-6.9677710533142	-0.079202830791473
-6.765832901001	-0.077020280063152
-6.5635371208191	-0.074866347014904
-6.362030506134	-0.072722792625427
-6.1593747138977	-0.070571720600128
-5.9579396247864	-0.068437121808529
-5.7549977302551	-0.066301800310612
-5.5530595779419	-0.06417328119278
-5.3522706031799	-0.062030803412199
-5.148754119873	-0.059887956827879
-4.9487566947937	-0.057740118354559
-4.7461724281311	-0.055577244609594
-4.5438766479492	-0.053401481360197
-4.3420815467834	-0.051219999790192
-4.140145778656	-0.049017407000065
-3.9373469352722	-0.046795845031738
-3.7359118461609	-0.044569980353117
-3.5331130027771	-0.042321216315031
-3.3315348625183	-0.040059577673674
-3.128879070282	-0.037761796265841
-2.9265832901001	-0.035457205027342
-2.7250051498413	-0.033136870712042
-2.5225639343262	-0.030794000253081
-2.3212742805481	-0.028430009260774
-2.1180438995361	-0.026054203510284
-1.9167518615723	-0.023656224831939
-1.7145991325378	-0.02123462036252
-1.5125894546509	-0.018787240609527
-1.3112282752991	-0.016339158639312
-1.1097931861877	-0.01386603154242
-0.90792655944824	-0.011373567394912
-0.7054877281189	-0.0088700102642179
-0.50283193588257	-0.0063422499224544
-0.30067920684814	-0.0038106953725219
-0.09960412979126	-0.0012655758764595
0.10168313980103	0.0012901413720101
0.30469417572021	0.0038537024520338
0.50835132598877	0.0064319395460188
0.71007013320923	0.0090149361640215
0.91279268264771	0.0115982061252
1.1137938499451	0.014193606562912
1.3160872459412	0.016786158084869
1.5178036689758	0.019386565312743
1.71959400177	0.021982682868838
1.9216012954712	0.024569500237703
2.1228885650635	0.027143789455295
2.325611114502	0.029726315289736
2.5277614593506	0.032289505004883
2.7293348312378	0.034836232662201
2.9304075241089	0.037370800971985
3.1321263313293	0.039892125874758
3.3359265327454	0.042398776859045
3.5377883911133	0.04487106949091
3.7398648262024	0.047336556017399
3.9415121078491	0.049770902842283
4.1438770294189	0.052184510976076
4.3468880653381	0.054568398743868
4.5486783981323	0.056929029524326
4.7508263587952	0.059254944324493
4.9529051780701	0.061542559415102
5.1548385620117	0.063808359205723
5.3567004203796	0.06603979319334
5.5582022666931	0.068230770528316
5.7599210739136	0.070397436618805
5.9619998931885	0.072524361312389
6.1643648147583	0.074619434773922
6.3659381866455	0.076656892895699
6.5680885314941	0.078669659793377
6.7695903778076	0.080644488334656
6.9727444648743	0.082586027681828
7.1746063232422	0.084484629333019
7.3760390281677	0.086341343820095
7.5784754753113	0.088142596185207
7.779905796051	0.089917361736298
7.9834198951721	0.091665290296078
8.1846351623535	0.093378141522408
8.3881492614746	0.095034800469875
8.5881423950195	0.096664987504482
8.7920875549316	0.098250783979893
8.9920825958252	0.099787555634975
9.1954517364502	0.10167264938354
9.3964529037476	0.10323524475098
9.5993919372559	0.10459721088409
9.7998189926147	0.1060163974762
10.003762245178	0.10732102394104

