[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-10.025527954102	6.0129523582475e-09
-9.8045520782471	-3.7368179661712e-09
-9.5957069396973	5.5774691531951e-09
-9.3851280212402	4.4381617825273e-10
-9.1979455947876	-6.067943481014e-09
-8.9882354736328	2.9081701491407e-09
-8.7949867248535	4.4451953229441e-09
-8.592209815979	-4.7614934217677e-09
-8.3894300460815	-2.742886584528e-09
-8.1831836700439	5.7567834943484e-09
-7.9864716529846	-8.0627204912531e-10
-7.780225276947	-5.622208032463e-09
-7.5826478004456	3.9328575951458e-09
-7.3824667930603	3.8508773947399e-09
-7.1770882606506	-5.0791384431648e-09
-6.9769096374512	-1.2981057340156e-09
-6.7689299583435	6.146156916742e-09
-6.568751335144	-1.8924117828334e-09
-6.3659715652466	-3.5779952334281e-09
-6.162326335907	5.6645630408525e-09
-5.9586811065674	3.8233996524362e-10
-5.7550358772278	-5.9501052973587e-09
-5.5522561073303	2.867186044142e-09
-5.3598761558533	4.3529748694482e-09
-5.1527643203735	-4.797351405017e-09
-4.9491190910339	-2.440607493881e-09
-4.7498059272766	5.9565903320902e-09
-4.5470261573792	-9.3947649659754e-10
-4.351179599762	-5.3506732378139e-09
-4.1449356079102	3.794526914902e-09
-3.9378237724304	-2.6199340474875e-09
-3.735044002533	5.6030748929459e-09
-3.5391974449158	5.3092241714126e-10
-3.3372855186462	-6.1242939608519e-09
-3.1319069862366	2.5751591969936e-09
-2.9299926757813	4.5425414541e-09
-2.7220153808594	-4.7102570732704e-09
-2.5261688232422	-2.9478193219745e-09
-2.3277235031128	5.9156062270915e-09
-2.1258091926575	-4.8350096149008e-10
-1.9204306602478	-5.6017159799637e-09
-1.7228507995605	3.9174796739871e-09
-1.5174722671509	4.0506957788011e-09
-1.3138270378113	-5.0996304956641e-09
-1.114513874054	-1.5491485871877e-09
-0.91433525085449	6.1359166636521e-09
-0.70808887481689	-1.9385217875367e-09
-0.50704479217529	-4.9203157104216e-09
-0.29993295669556	4.952406928993e-09
-0.098886489868164	3.3897757933943e-09
0.10475397109985	-5.4838777963084e-09
0.31445980072021	-4.2891502849418e-11
0.50510406494141	5.8951141745922e-09
0.71220874786377	-2.8914690641813e-09
0.91498374938965	-4.3157579732167e-09
1.1134243011475	5.3059219240481e-09
1.3144659996033	1.8988608463388e-09
1.5146398544312	-5.7912825646156e-09
1.7286801338196	1.0483861556665e-09
1.9245219230652	5.3264139765474e-09
2.1281623840332	-3.9929868300703e-09
2.3274683952332	-3.7009597608773e-09
2.5259113311768	5.5620907879472e-09
2.7330183982849	8.5369350477649e-10
2.935791015625	-6.0371996291053e-09
3.1342315673828	2.3036121898912e-09
3.3396053314209	4.6245096640973e-09
3.5484457015991	-4.6334029946138e-09
3.7442874908447	-2.8812170427273e-09
3.9531278610229	5.8131455205057e-09
4.1463685035706	-5.1935911127288e-10
4.3482756614685	-5.6427000849624e-09
4.5519161224365	3.7996410462426e-09
4.74689245224	4.0096996833938e-09
4.9513983726501	-4.9612998154203e-09
5.154173374176	-1.5184163926207e-09
5.3543472290039	6.19226714349e-09
5.5571222305298	-1.5645266193687e-09
5.7685613632202	-4.8844457367636e-09
5.9644031524658	4.9011705804958e-09
6.1637115478516	3.3795237719403e-09
6.3786172866821	-5.4428936913098e-09
6.5770578384399	-1.7096996041133e-10
6.7694330215454	6.0539364632461e-09
6.9756722450256	-2.8504849591826e-09
7.1853804588318	-4.4438364099619e-09
7.3838210105896	5.3110480457974e-09
7.5831294059753	2.2626280848925e-09
7.7954339981079	-5.8630109656121e-09
7.9852104187012	1.0022759289186e-09
8.1879825592041	5.398142377544e-09
8.3985567092896	-3.8495304721664e-09
8.6021976470947	-3.8495304721664e-09
8.8032388687134	5.4903628310399e-09
8.9982128143311	1.212334677092e-09
9.2018527984619	-6.0935616552626e-09
9.3985633850098	1.9962071995394e-09
9.5987367630005	4.7474744135911e-09
9.8015098571777	-4.5616745936172e-09
10.01121711731	-3.1732558802844e-09

